Query,Last 7 days Clicks,Previous 7 days Clicks,Last 7 days Impressions,Previous 7 days Impressions,Last 7 days CTR,Previous 7 days CTR,Last 7 days Position,Previous 7 days Position
group facetime,5785,481,17715,1129,32.66%,42.60%,1.52,1.09
apple support,2371,2097,25116,22592,9.44%,9.28%,1.68,1.76
facetime group call,2337,156,13039,966,17.92%,16.15%,1.64,2.75
create apple id,2276,2135,18496,13052,12.31%,16.36%,4.19,4.09
apple id,2057,1042,101082,93266,2.03%,1.12%,2.96,3.21
apple id login,2041,2011,11069,7573,18.44%,26.55%,3.95,2.29
forgot apple id password,1589,1225,6795,4836,23.38%,25.33%,2.6,2.29
reset apple id password,1470,1072,5179,3813,28.38%,28.11%,1.23,1.48
facetime multiple people,1149,89,3991,336,28.79%,26.49%,1.89,1.79
apple id reset,1054,678,5580,3778,18.89%,17.95%,2.34,2.2
apple.com/bill sydney,971,952,2525,2524,38.46%,37.72%,1,1.01
apple id forgot password,967,716,3086,2166,31.34%,33.06%,1.87,1.93
facetime,918,213,16404,3047,5.60%,6.99%,3.57,1.49
group facetime call,904,21,3642,176,24.82%,11.93%,2.38,2.33
reset apple id,840,551,2748,1735,30.57%,31.76%,2.01,1.58
multiple facetime,819,19,2150,128,38.09%,14.84%,1.68,2.14
apple pay,745,814,8720,12938,8.54%,6.29%,3.75,4.79
apple support australia,733,664,1382,1272,53.04%,52.20%,1.03,1.04
apple id password reset,730,617,2305,1906,31.67%,32.37%,1.65,1.68
how to screenshot on mac,690,1139,16702,19216,4.13%,5.93%,1,1
change apple id password,690,458,3527,3072,19.56%,14.91%,1.13,1.07
find my iphone,663,841,30167,28631,2.20%,2.94%,6.89,6.2
apple login,661,730,3140,2935,21.05%,24.87%,2.29,2.21
screenshot on mac,646,739,13777,13274,4.69%,5.57%,1.01,1
facetime conference call,631,81,2791,388,22.61%,20.88%,2.28,2.14
itunes,629,461,146838,19601,0.43%,2.35%,9.37,4.33
apple id password,584,461,1884,1438,31%,32.06%,1.33,1.36
screenshot mac,451,394,9068,6597,4.97%,5.97%,1.32,1.04
appleid,442,238,18801,16378,2.35%,1.45%,2.58,3.21
how to unlock iphone,440,242,2747,1518,16.02%,15.94%,1.95,1.89
apple help,439,395,4599,4227,9.55%,9.34%,1.17,1.39
forgot apple id,437,346,1315,1165,33.23%,29.70%,2.67,2.87
how to group facetime,432,42,4701,341,9.19%,12.32%,1.84,3.02
icloud for windows,432,453,907,768,47.63%,58.98%,2.98,2.71
apple repair,413,493,4248,4996,9.72%,9.87%,1.14,1.15
apple contact,407,342,978,880,41.62%,38.86%,1.62,1.64
how to screen record on iphone,378,259,2549,1863,14.83%,13.90%,6.82,4.5
apple password reset,371,279,1319,865,28.13%,32.25%,1.44,1.44
apple support contact,361,230,2078,1586,17.37%,14.50%,3.25,3.2
apple account,356,339,10608,9834,3.36%,3.45%,3.53,3.66
multi facetime,353,31,735,49,48.03%,63.27%,1.18,1.18
mac screenshot,346,321,4016,3393,8.62%,9.46%,1.56,1.27
itunes download,337,338,7077,6292,4.76%,5.37%,2.98,3.68
apple id sign in,333,267,1137,908,29.29%,29.41%,2.42,2.22
can you group facetime,324,0,2170,0,14.93%,0%,1.28,0
itunes account,321,322,5210,4623,6.16%,6.97%,5.09,4.84
unlock iphone,303,146,1494,805,20.28%,18.14%,1.93,1.83
can you facetime multiple people,300,28,1223,57,24.53%,49.12%,1.13,1.18
how to print screen on mac,298,435,3757,4356,7.93%,9.99%,2.01,1.95
apple live chat,296,212,795,590,37.23%,35.93%,4.09,4.18
apple subscriptions,294,189,1811,1170,16.23%,16.15%,3.03,2.38
apple support chat,290,206,698,616,41.55%,33.44%,1.3,1.41
what iphone do i have,285,46,781,355,36.49%,12.96%,1.8,2.82
how to change apple id password,284,180,2587,2335,10.98%,7.71%,1.16,1.1
iforgot.apple id password,283,29,1334,158,21.21%,18.35%,2.54,3.05
your account has been disabled in the app store and itunes,279,90,988,149,28.24%,60.40%,2.33,1.5
apple chat,278,241,432,347,64.35%,69.45%,1.05,1.07
itunes match,275,281,615,734,44.72%,38.28%,1.4,2.14
apple id reset password,274,234,851,623,32.20%,37.56%,1.79,1.6
apple sign in,273,230,1090,964,25.05%,23.86%,2.27,2.05
apple forgot password,271,191,806,636,33.62%,30.03%,1.83,2.1
can you facetime more than one person at a time,263,0,892,0,29.48%,0%,1.25,0
how many people can facetime at once,258,0,2904,0,8.88%,0%,2.88,0
support.apple.com/en-au/ts4515,251,238,568,555,44.19%,42.88%,1,1
apple refund,250,498,338,737,73.96%,67.57%,1.01,1.04
facetime group,238,33,1122,129,21.21%,25.58%,1.99,3.09
apple serial number check,237,230,2011,2179,11.79%,10.56%,2.19,2.09
itunes login,233,240,6501,9235,3.58%,2.60%,6.95,7.47
reset apple password,224,146,858,411,26.11%,35.52%,1.31,1.35
how to take a screenshot on mac,218,295,4317,4679,5.05%,6.30%,1,1
print screen mac,218,267,4023,3930,5.42%,6.79%,2.26,2.23
facetime group chat,215,27,875,72,24.57%,37.50%,1.45,1.17
itunes subscriptions,210,126,634,560,33.12%,22.50%,2.57,2.19
apple id change password,208,143,813,713,25.58%,20.06%,1.32,1.07
3 way facetime,207,40,1646,214,12.58%,18.69%,2.73,2.45
can you do a group facetime,205,0,1130,0,18.14%,0%,1.21,0
create an apple id,203,160,1766,1148,11.49%,13.94%,3.82,3.63
how to split screen on mac,203,242,1358,1567,14.95%,15.44%,1.01,1.16
apple id sign up,202,262,983,947,20.55%,27.67%,4.52,3.88
multi person facetime,200,0,757,0,26.42%,0%,2.45,0
apple id create,199,234,1695,1771,11.74%,13.21%,3.84,4.05
apple music subscription,199,162,1602,1485,12.42%,10.91%,3.35,3.49
el capitan download,192,126,441,335,43.54%,37.61%,1.35,1.33
create new apple id,191,195,1110,1264,17.21%,15.43%,2.88,3.24
iphone models,189,128,1894,1169,9.98%,10.95%,1,1
forgot apple password,189,140,850,523,22.24%,26.77%,2.46,2.4
sidecar,189,120,591,432,31.98%,27.78%,1.27,1.58
itunes for windows,185,183,557,506,33.21%,36.17%,1.66,1.64
apple reset password,180,105,459,333,39.22%,31.53%,1.49,1.6
facetime more than one person,179,0,688,0,26.02%,0%,2.62,0
forgot my apple id password,177,148,1280,765,13.83%,19.35%,2.75,2.51
group face time,171,0,618,0,27.67%,0%,1.49,0
contact apple,171,186,545,482,31.38%,38.59%,2.44,2.24
how to clean airpods,167,152,731,631,22.85%,24.09%,1,1.02
apple battery replacement,164,208,331,504,49.55%,41.27%,2.33,2.38
how to do group facetime,163,0,1946,0,8.38%,0%,2.18,0
icloud download,163,140,386,301,42.23%,46.51%,1.53,1.71
airdrop,159,184,2805,2995,5.67%,6.14%,2.99,2.9
how to facetime multiple people,158,0,938,0,16.84%,0%,2.39,0
apple screen repair,158,211,375,529,42.13%,39.89%,1.31,1.63
how to connect airpods to mac,157,59,3779,3128,4.15%,1.89%,1.78,2.28
multiple people on facetime,156,0,543,0,28.73%,0%,2.44,0
download icloud for windows,152,168,249,225,61.04%,74.67%,2.72,1.14
apple repairs,151,123,757,672,19.95%,18.30%,1.14,1.17
i forgot my apple id password,148,110,938,672,15.78%,16.37%,2.86,2.65
forgot password apple id,148,112,467,411,31.69%,27.25%,2.2,2.28
ios 13.3.1,147,266,2964,4879,4.96%,5.45%,4.58,5.01
new apple id,146,156,1472,814,9.92%,19.16%,3.24,3.63
facetime group video call,144,0,731,0,19.70%,0%,1.99,0
iphone battery replacement,142,216,548,732,25.91%,29.51%,1.5,1.71
memoji,140,132,676,560,20.71%,23.57%,1.87,1.64
apple watch screen repair,139,152,343,3424,40.52%,4.44%,1.12,2.58
how to reset apple id password,138,80,1305,781,10.57%,10.24%,1.37,1.81
apple id password change,137,88,462,389,29.65%,22.62%,2.03,3.09
right airpod not working,137,124,420,435,32.62%,28.51%,2.1,2.34
how many people can you facetime at once,134,0,1493,0,8.98%,0%,3.03,0
apple online chat,134,90,258,177,51.94%,50.85%,1.03,1.05
how to reset iphone,132,108,1523,1602,8.67%,6.74%,3.76,3.77
macos mojave,131,0,958,0,13.67%,0%,2.68,0
wifi calling iphone,130,63,1703,769,7.63%,8.19%,2.86,3.03
cancel apple music,130,58,1456,542,8.93%,10.70%,2.36,2.37
one airpod not working,130,113,682,794,19.06%,14.23%,2.99,3
three way facetime,129,0,983,0,13.12%,0%,2.64,0
your account has been disabled,129,54,615,131,20.98%,41.22%,2.33,1.47
contact apple support,128,92,1377,909,9.30%,10.12%,7.46,7
apple id account,126,116,3730,3096,3.38%,3.75%,3.94,4.13
call apple support,125,113,390,321,32.05%,35.20%,2.43,2.03
iphone hotspot not working,124,68,547,318,22.67%,21.38%,1.61,2.1
forgot ipad passcode,124,82,265,202,46.79%,40.59%,3.54,3.03
macbook pro battery replacement,123,118,1339,1457,9.19%,8.10%,2.81,2.89
forgot icloud password,123,72,844,547,14.57%,13.16%,2.67,2.6
macbook screenshot,122,129,784,717,15.56%,17.99%,2.61,2.59
facetime video conference,121,0,336,0,36.01%,0%,2.71,0
how to take screenshot on mac,120,168,1657,1839,7.24%,9.14%,1,1.01
can you facetime a group,120,0,767,0,15.65%,0%,2.27,0
left airpod not working,119,187,587,587,20.27%,31.86%,2.78,2.35
multiple facetime calls,119,0,423,0,28.13%,0%,1.96,0
download el capitan,119,79,270,169,44.07%,46.75%,1.3,1.22
forgotten apple id password,118,61,1730,723,6.82%,8.44%,3.68,3.58
can you facetime more than one person,118,0,548,0,21.53%,0%,1.2,0
change apple id,116,81,834,620,13.91%,13.06%,2.18,2.28
forgot iphone passcode,116,111,265,342,43.77%,32.46%,2.32,6.64
find my airpods,114,84,1607,1581,7.09%,5.31%,1.06,1.05
apple id locked,113,89,1434,605,7.88%,14.71%,3.36,3.27
apple serial number,113,95,954,725,11.84%,13.10%,2.16,1.98
apple number,112,68,436,339,25.69%,20.06%,2.36,2.46
report a problem apple,112,293,191,468,58.64%,62.61%,1.59,1.45
change apple password,111,52,546,448,20.33%,11.61%,1.05,1.06
apple sidecar,111,55,219,96,50.68%,57.29%,1.12,1.44
iforgot.apple id password reset,110,94,916,772,12.01%,12.18%,2.98,3.22
mac support,110,100,794,582,13.85%,17.18%,1.02,1.03
mac os,109,43,2222,1783,4.91%,2.41%,3.84,4.11
how to set up apple pay,106,125,1173,900,9.04%,13.89%,1.06,1.04
apple password,106,58,619,491,17.12%,11.81%,1.51,1.56
touch id not working,106,37,500,157,21.20%,23.57%,2.08,2.01
icloud password reset,105,63,566,430,18.55%,14.65%,2.42,2.99
mac update,105,52,307,231,34.20%,22.51%,1.33,1.78
how to change apple id,104,85,1923,1083,5.41%,7.85%,1.97,2.02
facetime party,104,0,383,0,27.15%,0%,1.08,0
apple.com/bill sydney au,104,111,307,302,33.88%,36.75%,1,1.04
how to reset apple id,103,75,873,709,11.80%,10.58%,1.96,2.43
create apple id online,102,112,1779,852,5.73%,13.15%,4.18,3.82
how to print from iphone,102,108,1190,1042,8.57%,10.36%,1.05,1.02
how to do a group facetime,101,0,1245,0,8.11%,0%,2.07,0
can you facetime with three people,101,0,839,0,12.04%,0%,2.96,0
screen recording on iphone,100,94,1139,1089,8.78%,8.63%,6.19,4.1
mac keyboard not working,100,46,453,254,22.08%,18.11%,3.08,2.98
reset itunes password,100,75,387,271,25.84%,27.68%,2,2.07
airdrop mac,100,91,331,308,30.21%,29.55%,1.79,1.33
apple contact number,98,70,766,658,12.79%,10.64%,3.83,3.85
how to use apple pay,98,124,676,759,14.50%,16.34%,1.41,1.51
apple chat support,98,105,357,337,27.45%,31.16%,1.77,1.82
iphone s,97,59,1048,624,9.26%,9.46%,1.67,1.33
can you conference call on facetime,97,0,487,0,19.92%,0%,1.52,0
mac os versions,96,60,1615,1274,5.94%,4.71%,3.36,3.49
iphone hotspot,96,37,543,303,17.68%,12.21%,2.04,1.61
apple tv remote not working,96,60,481,436,19.96%,13.76%,2.29,3
debit card purchase apple.com/bill sydney aus,96,104,220,215,43.64%,48.37%,1.01,1.02
iforgot apple,95,223,844,1532,11.26%,14.56%,4.71,3.68
screen grab mac,95,112,814,904,11.67%,12.39%,1.83,1.96
can you facetime with 3 people,95,0,781,0,12.16%,0%,3.13,0
change icloud password,94,56,702,563,13.39%,9.95%,1.04,1.08
how to airdrop from iphone to mac,94,106,438,547,21.46%,19.38%,2.97,2.9
reset iphone,93,83,931,849,9.99%,9.78%,4.59,4.35
os x el capitan,93,84,440,406,21.14%,20.69%,2.43,2.24
icloud login,92,96,17115,22294,0.54%,0.43%,3.17,3.14
macos sierra,92,0,294,0,31.29%,0%,1.73,0
apple phone number,91,82,870,986,10.46%,8.32%,5.33,5.62
conference facetime,91,0,151,0,60.26%,0%,1,0
iphone screen repair,90,108,1441,1611,6.25%,6.70%,4.07,4
mac operating systems,90,30,566,477,15.90%,6.29%,2.38,3.74
iphone support,89,95,547,637,16.27%,14.91%,2.47,1.79
login apple id,89,96,541,296,16.45%,32.43%,3.56,2.4
icloud forgot password,89,80,364,315,24.45%,25.40%,2.14,2.17
sidecar ipad,89,43,153,80,58.17%,53.75%,1.03,1.64
itunes password reset,88,76,476,357,18.49%,21.29%,2.45,2.03
icloud support,88,98,376,415,23.40%,23.61%,1.13,1.07
reset my apple id password,87,49,343,204,25.36%,24.02%,2.31,2.42
apple change password,87,60,243,177,35.80%,33.90%,1.21,1.66
split screen mac,86,77,593,460,14.50%,16.74%,3.6,3.83
facetime conference,86,0,171,0,50.29%,0%,1.07,0
mac os mojave,85,0,783,0,10.86%,0%,2.39,0
sign in apple id,85,72,540,358,15.74%,20.11%,1.56,1.42
apple tv movies,84,85,703,559,11.95%,15.21%,3.14,3.23
factory reset macbook pro,83,81,550,559,15.09%,14.49%,3.61,3.93
personal hotspot not working,82,58,554,349,14.80%,16.62%,1.51,1.38
iphone x screen repair,82,111,356,412,23.03%,26.94%,1.35,1.55
mac remote desktop,82,41,281,124,29.18%,33.06%,1,1
apple login account,82,30,260,105,31.54%,28.57%,2.33,2.13
thunderbolt to hdmi,80,0,1426,0,5.61%,0%,1.01,0
reset icloud password,80,74,571,465,14.01%,15.91%,3.32,3.21
apple log in,80,86,377,348,21.22%,24.71%,2.21,2.04
bootcamp windows 10,80,35,241,85,33.20%,41.18%,2.33,2.67
how to cancel apple music,79,39,2349,675,3.36%,5.78%,2.95,2.93
download mojave,79,0,332,0,23.80%,0%,2.21,0
mail drop,78,28,553,170,14.10%,16.47%,2.2,2.73
apple watch repair,78,77,270,2815,28.89%,2.74%,1.58,1.03
icloud drive,77,62,5531,5354,1.39%,1.16%,6.03,6.56
facetime with multiple people,77,0,582,0,13.23%,0%,2.5,0
how to reset ipad,77,49,487,382,15.81%,12.83%,3.65,3.88
multiple people facetime,77,0,360,0,21.39%,0%,1.6,0
use ipad as second screen,77,25,160,57,48.12%,43.86%,2.29,2.51
apple id account page,75,24,3260,2824,2.30%,0.85%,1.42,1.46
set up apple id,75,44,656,542,11.43%,8.12%,3.5,4.07
conference call facetime,74,0,370,0,20%,0%,2.54,0
boot camp support software,74,0,119,0,62.18%,0%,1.09,0
screen shot mac,73,75,2033,1809,3.59%,4.15%,1.17,1
airdrop iphone,73,24,1127,1001,6.48%,2.40%,4.25,4.81
iphone repair,72,103,1983,4848,3.63%,2.12%,2.25,2.41
bootcamp drivers,72,19,172,50,41.86%,38%,1.31,1.52
pending - apple.com/bill sydney au,72,41,160,138,45%,29.71%,1.01,1
icloud,71,94,67027,76937,0.11%,0.12%,4.75,4.62
screen capture mac,71,47,794,712,8.94%,6.60%,2.03,2.02
group.facetime,71,0,266,0,26.69%,0%,1.75,0
mac os sierra,71,0,188,0,37.77%,0%,1.88,0
apple report a problem,71,124,133,318,53.38%,38.99%,1.84,2.27
face id not working,70,52,629,377,11.13%,13.79%,1.14,1.01
print from iphone,70,39,609,449,11.49%,8.69%,1.03,1.05
iphone a1586,70,36,387,184,18.09%,19.57%,1.02,1.02
itunes account login,70,48,386,313,18.13%,15.34%,3.38,3.29
itunes refund,70,169,98,258,71.43%,65.50%,1.52,1.63
bootcamp mac,68,57,395,212,17.22%,26.89%,4.54,2.97
facetime multiple users,68,0,317,0,21.45%,0%,2.61,0
can you facetime with more than one person,68,0,270,0,25.19%,0%,1.27,0
icloud mail,67,37,9280,8942,0.72%,0.41%,4.96,5.38
apple account sign in,67,67,225,260,29.78%,25.77%,2.14,2.07
a1586,66,0,696,0,9.48%,0%,1.97,0
apple help line,66,59,597,484,11.06%,12.19%,3.46,3.48
mojave,66,0,405,0,16.30%,0%,1.98,0
apple account login,66,62,404,252,16.34%,24.60%,2.55,2.25
replacement airpod,66,82,315,489,20.95%,16.77%,2.04,2.34
iphone model a1457,66,0,237,0,27.85%,0%,1.3,0
iphone 11 screen replacement,66,62,154,171,42.86%,36.26%,1.49,2.01
i tunes log in,66,60,143,114,46.15%,52.63%,1.75,1.54
apple,66,50,143,115,46.15%,43.48%,3.28,4.41
how to facetime,65,0,436,0,14.91%,0%,2.58,0
apple keyboard not working,65,33,343,196,18.95%,16.84%,2.12,2.21
safari,64,46,8068,6133,0.79%,0.75%,3,3.36
airprint,64,82,669,993,9.57%,8.26%,4.52,4.72
create itunes account,64,70,546,461,11.72%,15.18%,3.47,3.11
mac split screen,64,47,274,229,23.36%,20.52%,1.04,1.12
airpod replacement,64,76,238,317,26.89%,23.97%,1.97,2.08
apple tv app store,64,48,137,94,46.72%,51.06%,1.09,1.04
download itunes,62,43,1481,1373,4.19%,3.13%,3.16,3.88
how to record iphone screen,62,58,710,1417,8.73%,4.09%,6.46,8.97
creat apple id,62,37,507,310,12.23%,11.94%,4.27,4.42
how to facetime more than one person,62,0,398,0,15.58%,0%,2.88,0
iphone wifi calling,61,30,591,242,10.32%,12.40%,2.81,2.87
can you do group facetime,61,0,395,0,15.44%,0%,1.25,0
apple music account,61,27,297,166,20.54%,16.27%,2.5,3.61
iphone stuck on apple logo,61,43,240,201,25.42%,21.39%,3.17,3.53
how to facetime more than one person at a time,61,0,217,0,28.11%,0%,2.62,0
facetime with more than one person,61,0,205,0,29.76%,0%,2.6,0
untrusted enterprise developer,61,37,191,166,31.94%,22.29%,1.94,2.67
reset homepod,61,60,174,163,35.06%,36.81%,1,1.01
optimised battery charging,61,60,102,110,59.80%,54.55%,1,1.02
kernel task,61,0,96,0,63.54%,0%,1,0
unlock apple id,60,0,1102,0,5.44%,0%,4.14,0
how to access icloud,60,52,995,899,6.03%,5.78%,2.93,2.91
how to restore iphone,60,60,428,788,14.02%,7.61%,1.03,2.36
split screen ipad,60,45,284,260,21.13%,17.31%,1.04,1.07
apple tv generations,60,40,223,194,26.91%,20.62%,2.14,2.02
print screen on mac,59,83,1184,1245,4.98%,6.67%,2.51,2.29
how to print from ipad,59,61,703,579,8.39%,10.54%,1.96,2.12
apple online support,59,28,260,191,22.69%,14.66%,2.13,2.36
reset password apple id,59,45,215,164,27.44%,27.44%,1.68,2.23
apple tv remote,58,52,2347,1596,2.47%,3.26%,3.2,3.7
bootcamp,58,30,1604,1302,3.62%,2.30%,6.23,5.57
how to screenshot on a mac,58,67,1117,1270,5.19%,5.28%,1,1
group facetime on iphone,58,0,491,0,11.81%,0%,1.41,0
restore iphone,58,68,490,834,11.84%,8.15%,2.72,3.06
change my apple id password,58,32,374,383,15.51%,8.36%,1.18,1.02
how to split screen on ipad,58,55,308,309,18.83%,17.80%,1.6,2.38
iforgot apple password,58,70,269,336,21.56%,20.83%,2.43,2.18
bootcamp download,58,0,224,0,25.89%,0%,1.96,0
conference call on facetime,58,0,218,0,26.61%,0%,2.32,0
icloud help,58,54,174,145,33.33%,37.24%,1.32,1.2
apple support contact number,57,42,850,713,6.71%,5.89%,3.57,3.56
how to use facetime,57,0,387,0,14.73%,0%,1.58,0
iphone 7 battery replacement,57,65,308,336,18.51%,19.35%,3.18,3.43
how do i unlock my iphone,57,44,199,175,28.64%,25.14%,1.4,1.21
apple warranty check,56,34,3263,1954,1.72%,1.74%,2.38,2.45
how to do a group facetime call,56,0,735,0,7.62%,0%,1.65,0
icloud backup,56,71,328,437,17.07%,16.25%,1.65,1.97
iphone a1457,56,30,317,158,17.67%,18.99%,1.73,1.76
iphone magnifier,56,48,254,470,22.05%,10.21%,2.61,3.74
smc reset,56,32,221,104,25.34%,30.77%,2.14,1.99
facetime not working on mac,56,0,202,0,27.72%,0%,1,0
mac os el capitan,56,35,181,123,30.94%,28.46%,1.83,1.93
pair apple watch to new iphone,56,49,127,130,44.09%,37.69%,2.06,2.2
